1,1972,1,1;
2,1972,1,2;
3,1972,1,3;
4,1972,1,4;
5,1972,1,5;
6,1972,1,6;
7,1972,1,7;
8,1972,1,8;
9,1972,1,9;
10,1972,1,10;
11,1972,1,11;
12,1972,1,12;
13,1972,1,13;
14,1972,1,14;
15,1972,1,15;
16,1972,1,16;
17,1972,1,17;
18,1972,1,18;
19,1972,1,19;
20,1972,1,20;
21,1972,1,21;
22,1972,1,22;
23,1972,1,23;
24,1972,1,24;
25,1972,1,25;
26,1972,1,26;
27,1972,1,27;
28,1972,1,28;
29,1972,1,29;
30,1972,1,30;
31,1972,1,31;
32,1972,1,32;
33,1972,1,33;
34,1972,1,34;
35,1972,2,1;
36,1972,2,2;
37,1972,2,3;
38,1972,2,4;
39,1972,2,5;
40,1972,2,6;
41,1972,2,7;
42,1972,2,8;
43,1972,2,9;
44,1972,2,10;
45,1972,2,11;
46,1972,2,12;
47,1972,2,13;
48,1972,2,14;
49,1972,2,15;
50,1972,2,16;
51,1972,2,17;
52,1972,2,18;
53,1972,2,19;
54,1972,2,20;
55,1972,2,21;
56,1972,2,22;
57,1972,2,23;
58,1972,2,24;
59,1972,2,25;
60,1972,2,26;
61,1972,2,27;
62,1972,2,28;
63,1972,2,29;
64,1972,2,30;
65,1972,2,31;
66,1972,2,32;
67,1972,2,33;
68,1972,2,34;
69,1972,2,35;
70,1972,2,36;
71,1972,2,37;
72,1972,2,38;
73,1973,1,1;
74,1973,1,2;
75,1973,1,3;
76,1973,1,4;
77,1973,1,5;
78,1973,1,6;
79,1973,1,7;
80,1973,1,8;
81,1973,1,9;
82,1973,1,10;
83,1973,1,11;
84,1973,1,12;
85,1973,1,13;
86,1973,1,14;
87,1973,1,15;
88,1973,1,16;
89,1973,1,17;
90,1973,1,18;
91,1973,1,19;
92,1973,1,20;
93,1973,1,21;
94,1973,1,22;
95,1973,1,23;
96,1973,1,24;
97,1973,1,25;
98,1973,1,26;
99,1973,1,27;
100,1973,1,28;
101,1973,1,29;
102,1973,1,30;
103,1973,1,31;
104,1973,1,32;
105,1973,1,33;
106,1973,1,34;
107,1973,2,1;
108,1973,2,2;
109,1973,2,3;
110,1973,2,4;
111,1973,2,5;
112,1973,2,6;
113,1973,2,7;
114,1973,2,8;
115,1973,2,9;
116,1973,2,10;
117,1973,2,11;
118,1973,2,12;
119,1973,2,13;
