Valencia;8;11;10;6;2;1;5;
Castellon;8;7;6;12;2;5;1;
Sporting Gijon;8;10;7;6;3;4;1;
Celta;8;9;8;8;2;3;3;
Las Palmas;8;10;8;13;3;4;1;
Espanyol;8;14;12;5;3;0;5;
Zaragoza;8;13;12;4;3;1;4;
Malaga (C.D.);8;12;8;6;3;2;3;
At. Madrid;8;16;9;6;5;2;1;
Oviedo;8;8;8;12;2;4;2;
Burgos;8;8;6;11;2;4;2;
Real Madrid;8;12;7;6;3;2;3;
Dptivo. Coruna;8;10;6;10;2;2;4;
Real Sociedad;8;11;6;7;3;3;2;
Barcelona;8;19;12;5;6;1;1;
At. Madrid;9;19;14;7;6;2;1;
Celta;9;9;9;13;2;4;3;
Barcelona;9;20;12;5;6;1;2;
Malaga (C.D.);9;13;8;6;3;2;4;
Burgos;9;11;8;12;3;4;2;
Sporting Gijon;9;10;8;8;3;5;1;
Dptivo. Coruna;9;11;6;10;2;2;5;
Espanyol;9;15;12;5;3;0;6;
Granada;9;11;7;8;2;2;5;
Real Sociedad;9;11;6;9;3;4;2;
Las Palmas;9;10;8;14;3;5;1;
Castellon;9;10;7;12;3;5;1;
Oviedo;9;9;8;12;2;4;3;
Betis;9;4;2;10;0;5;4;
Valencia;9;11;10;7;2;2;5;
Real Madrid;9;15;8;6;4;2;3;
Zaragoza;9;16;15;6;4;1;4;
Ath. Bilbao;9;11;10;8;3;4;2;
Ath. Bilbao;10;14;13;8;4;4;2;
Dptivo. Coruna;10;11;6;13;2;3;5;
Betis;10;7;7;11;1;5;4;
Burgos;10;11;9;17;3;5;2;
Castellon;10;11;8;13;3;5;2;
At. Madrid;10;20;15;8;6;2;2;
Celta;10;10;9;13;2;4;4;
Barcelona;10;21;12;5;6;1;3;
Espanyol;10;18;15;5;4;0;6;
Valencia;10;11;10;10;2;3;5;
Malaga (C.D.);10;16;11;6;4;2;4;
Granada;10;11;7;11;2;3;5;
Real Madrid;10;18;11;6;5;2;3;
Oviedo;10;9;8;15;2;5;3;
Real Sociedad;10;14;9;9;4;4;2;
Zaragoza;10;16;15;9;4;2;4;
Sporting Gijon;10;11;10;10;3;5;2;
Las Palmas;10;11;10;16;3;5;2;
At. Madrid;11;20;15;9;6;3;2;
Sporting Gijon;11;14;11;10;4;5;2;
Barcelona;11;24;15;6;7;1;3;
Castellon;11;11;9;16;3;6;2;
Betis;11;10;9;12;2;5;4;
Real Madrid;11;18;12;8;5;3;3;
Burgos;11;12;12;20;3;5;3;
Las Palmas;11;12;13;19;3;5;3;
Dptivo. Coruna;11;11;7;15;2;4;5;
Real Sociedad;11;17;11;10;5;4;2;
Granada;11;14;8;11;3;3;5;
Celta;11;10;9;14;2;5;4;
Oviedo;11;9;9;17;2;6;3;
Espanyol;11;21;17;6;5;0;6;
Valencia;11;14;14;11;3;3;5;
Ath. Bilbao;11;14;14;12;4;5;2;
Zaragoza;11;17;16;10;4;2;5;
Malaga (C.D.);11;17;12;7;4;2;5;
Ath. Bilbao;12;15;17;15;4;5;3;
Oviedo;12;10;12;20;2;6;4;
Castellon;12;12;9;16;3;6;3;
Granada;12;15;8;11;3;3;6;
Celta;12;10;10;16;2;6;4;
Zaragoza;12;20;18;11;5;2;5;
Espanyol;12;22;19;8;5;0;7;
Betis;12;11;11;14;2;5;5;
Las Palmas;12;13;15;21;3;5;4;
At. Madrid;12;21;17;11;6;3;3;
Malaga (C.D.);12;20;16;8;5;2;5;
Dptivo. Coruna;12;11;8;19;2;5;5;
Real Madrid;12;21;14;8;6;3;3;
Burgos;12;12;12;22;3;6;3;
Real Sociedad;12;20;13;11;6;4;2;
Valencia;12;14;15;13;3;4;5;
Sporting Gijon;12;15;12;11;4;5;3;
Barcelona;12;25;16;7;7;1;4;
Barcelona;13;28;19;8;8;1;4;
Las Palmas;13;13;16;24;3;6;4;
Betis;13;12;11;14;2;5;6;
Ath. Bilbao;13;16;17;15;4;5;4;
Burgos;13;12;12;23;3;7;3;
At. Madrid;13;24;18;11;7;3;3;
Dptivo. Coruna;13;14;9;19;3;5;5;
Celta;13;10;10;17;2;7;4;
Granada;13;18;9;11;4;3;6;
Sporting Gijon;13;15;12;12;4;6;3;
Oviedo;13;11;13;21;2;6;5;
Real Sociedad;13;21;14;12;6;4;3;
Real Madrid;13;24;15;8;7;3;3;
Espanyol;13;22;19;9;5;1;7;
Valencia;13;17;17;14;4;4;5;
Malaga (C.D.);13;20;17;10;5;3;5;
Zaragoza;13;20;18;12;5;3;5;
Castellon;13;15;10;16;4;6;3;
At. Madrid;14;27;20;11;8;3;3;
Barcelona;14;28;19;10;8;2;4;
Ath. Bilbao;14;19;19;16;5;5;4;
Real Madrid;14;24;16;10;7;4;3;
Castellon;14;18;12;16;5;6;3;
Dptivo. Coruna;14;14;9;21;3;6;5;
Celta;14;13;11;17;3;7;4;
Valencia;14;17;17;15;4;5;5;
Espanyol;14;25;21;9;6;1;7;
Burgos;14;12;12;25;3;8;3;
Las Palmas;14;16;17;24;4;6;4;
Granada;14;18;9;12;4;4;6;
Malaga (C.D.);14;21;18;11;5;3;6;
Oviedo;14;12;14;22;2;6;6;
Real Sociedad;14;24;16;13;7;4;3;
Betis;14;12;12;16;2;6;6;
Sporting Gijon;14;18;15;12;5;6;3;
Zaragoza;14;20;18;15;5;4;5;
Betis;15;12;12;17;2;7;6;
Malaga (C.D.);15;24;19;11;6;3;6;
Burgos;15;13;12;25;3;8;4;
Barcelona;15;29;19;10;8;2;5;
Dptivo. Coruna;15;17;11;22;4;6;5;
Sporting Gijon;15;18;16;14;5;7;3;
Espanyol;15;26;21;9;6;1;8;
Ath. Bilbao;15;20;19;16;5;5;5;
Granada;15;18;9;13;4;5;6;
At. Madrid;15;30;21;11;9;3;3;
Oviedo;15;13;14;22;2;6;7;
Celta;15;14;11;17;3;7;5;
Real Madrid;15;27;22;11;8;4;3;
Real Sociedad;15;24;17;19;7;5;3;
Valencia;15;20;21;17;5;5;5;
Castellon;15;18;14;20;5;7;3;
Zaragoza;15;23;19;15;6;4;5;
Las Palmas;15;16;17;25;4;7;4;
At. Madrid;16;31;21;11;9;3;4;
Zaragoza;16;24;19;15;6;4;6;
Barcelona;16;32;22;10;9;2;5;
Granada;16;18;9;16;4;6;6;
Burgos;16;16;17;26;4;8;4;
Ath. Bilbao;16;20;20;21;5;6;5;
Castellon;16;21;16;20;6;7;3;
Oviedo;16;13;14;24;2;7;7;
Celta;16;15;11;17;3;7;6;
Betis;16;13;12;17;2;7;7;
Las Palmas;16;19;20;25;5;7;4;
Dptivo. Coruna;16;17;11;25;4;7;5;
Malaga (C.D.);16;27;20;11;7;3;6;
Real Madrid;16;27;22;12;8;5;3;
Real Sociedad;16;27;21;20;8;5;3;
Espanyol;16;26;22;13;6;2;8;
Sporting Gijon;16;19;17;15;5;7;4;
Valencia;16;21;22;18;5;5;6;
Ath. Bilbao;17;23;22;22;6;6;5;
Real Sociedad;17;27;22;22;8;6;3;
Betis;17;16;14;17;3;7;7;
Castellon;17;21;16;22;6;8;3;
Dptivo. Coruna;17;18;12;26;4;7;6;
At. Madrid;17;32;22;12;9;3;5;
Espanyol;17;29;23;13;7;2;8;
Malaga (C.D.);17;27;20;12;7;4;6;
Granada;17;21;11;16;5;6;6;
Burgos;17;16;17;28;4;9;4;
Oviedo;17;16;15;24;3;7;7;
Sporting Gijon;17;19;17;16;5;8;4;
Real Madrid;17;30;23;12;9;5;3;
Celta;17;15;11;18;3;8;6;
Valencia;17;22;22;18;5;5;7;
Las Palmas;17;20;20;25;5;7;5;
Zaragoza;17;24;19;17;6;5;6;
Barcelona;17;35;24;10;10;2;5;
Ath. Bilbao;18;26;24;22;7;6;5;
Malaga (C.D.);18;27;20;14;7;5;6;
Betis;18;19;16;17;4;7;7;
Sporting Gijon;18;19;17;18;5;9;4;
Dptivo. Coruna;18;18;12;27;4;8;6;
Barcelona;18;38;25;10;11;2;5;
Espanyol;18;32;27;15;8;2;8;
Celta;18;15;13;22;3;9;6;
Oviedo;18;19;18;24;4;7;7;
Las Palmas;18;20;20;28;5;8;5;
Real Madrid;18;33;25;12;10;5;3;
Castellon;18;21;16;24;6;9;3;
Real Sociedad;18;30;27;23;9;6;3;
Burgos;18;16;18;33;4;10;4;
Valencia;18;22;23;20;5;6;7;
At. Madrid;18;35;24;13;10;3;5;
Zaragoza;18;27;21;17;7;5;6;
Granada;18;21;11;18;5;7;6;
At. Madrid;19;38;26;14;11;3;5;
Oviedo;19;19;19;26;4;8;7;
Barcelona;19;39;25;10;11;2;6;
Valencia;19;23;23;20;5;6;8;
Burgos;19;19;21;33;5;10;4;
Zaragoza;19;27;21;20;7;6;6;
Castellon;19;24;18;24;7;9;3;
Espanyol;19;32;27;17;8;3;8;
Celta;19;18;14;22;4;9;6;
Ath. Bilbao;19;26;24;23;7;7;5;
Granada;19;24;13;18;6;7;6;
Dptivo. Coruna;19;18;12;29;4;9;6;
Las Palmas;19;23;22;28;6;8;5;
Betis;19;19;16;19;4;8;7;
Malaga (C.D.);19;30;23;14;8;5;6;
Real Sociedad;19;30;27;26;9;7;3;
Sporting Gijon;19;22;18;18;6;9;4;
Real Madrid;19;33;25;13;10;6;3;
